path,barcodes,text
samples/generated\WhatsApp Image 2025-10-08 at 8.15.44 PM.jpeg,"[{'data': '6291100850068', 'type': 'EAN13', 'bbox': [119, 587, 406, 79]}]","6 ""291100""850068 ناج: كين للأغذية و المشروبات شءمع. )احدى شركات =موعة | أغذية (. ٠p صء ب. 16020. العين إ٠ع٠ اج دولة الإمارات العربية المتحد .( Juced by: in Food & Beveragc 3 PJSc an Agthia Croup ipanyl, PO Box 16O2O, Al Ain, UAE . Product of ed Arab Emirates الخط الساحن Consun er Hotline للمستملك 1  ا"
samples/generated\WhatsApp Image 2025-10-08 at 8.15.45 PM.jpeg,"[{'data': '6291100850037', 'type': 'EAN13', 'bbox': [191, 778, 690, 165]}]","22:13 8`3?. ""291100""850037 6 انناج العين للأغذية والمشروبات شءمع. احدى شركات مجموعة اغذبة(. صء - ب. 16020. العبن إ٠ع م إنناج دولة الإمارات العرببة المنحدة . Procuced by AlA nFood & Beveraaes Dnsc Ian Anthia GrouD"
